Опции*;"Тариф "" На старте""";"Тариф ""Сам себе хозяин""";"Тариф ""Без тормозов"""
Открытие счета;бесплатно;бесплатно;бесплатно
Интернет-клиент;бесплатно;бесплатно;бесплатно
Переводы внутри Банка;не ограничено;не ограничено;не ограничено
Изготовление и удостоверение КОПиОП;бесплатно;бесплатно;бесплатно
Ведение счета;1500;6300;24900
Токен;1;1;2
Переводы в другие Банки;15;70;не ограничено
Снятие на зарплату;100 000;300 000;1 500 000
Снятие на прочие нужды;50 000;300 000;1 000 000
Взносы;не ограничено;не ограничено;не ограничено
Справки;1;не ограничено;не ограничено
Чековая книжка;1;1;1
Изготовление платежного поручения;-;-;3
Отзыв платежного поручения;-;-;не ограничено
Уточнение платежа;-;-;не ограничено
Розыск средств;-;-;не ограничено
Изменение электронной подписи/ регистрация дополнительного ключа;-;-;не ограничено
Замена USB-токена;-;-;не ограничено
Письмо о деловой репутаци;-;-;не ограничено
Платежи по системе БЭСП;-;-;10
Срочное оформление паспорта сделки;-;-;1
Предоставление SWIFT;-;-;5
Выдача ведомости банковского контроля;-;-;2
; 1 700   ; 7 400   ; 29 850   
Подключение тарифа;3000;7800;25400
Экономия;10%;15%;20%
Дополнительные привилегии;;карта Бизнес бесплатно;1) карта Бизнес бесплатно                       2) карта 777 Black Edition для Топ-менеджемента бесплатно
;;;
* опции представлены в расчете на 1 месяц обслуживания потарифному плану;;;
